3-gram	*/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	3/1:3	4/1:3	4/2:4	5/1:3	5/2:4	5/3:5	6/1:3	6/2:4	6/3:5	6/4:6	7/1:3	7/2:4	7/3:5	7/4:6	7/5:7	8/1:3	8/2:4	8/3:5	8/4:6	8/5:7	8/6:8	9/1:3	9/2:4	9/3:5	9/4:6	9/5:7	9/6:8	9/7:9	*/1:3	*/2:4	*/3:5	*/4:6	*/5:7	*/6:8	*/7:9	*/8:10	*/9:11	*/-9:-7	*/-8:-6	*/-7:-5	*/-6:-4	*/-5:-3	*/-4:-2	*/-3:-1
ILL	3995118251	55727302	1800215741	598680052	266082133	536172894	223230706	192271806	55727302	4686793	1795528948	4217249	129383984	465078819	731761	191695578	62225696	11429098	46252544	416941530	34044842	23953890	14980088	35582235	103845840	32202271	21528055	17947800	12124505	14275536	27620419	32878950	41828450	36617897	24807942	14242612	317410421	2703551354	637753837	128469609	91836213	64327414	37767746	8091449	3866197	41352252	91467050	201925585	511232625	307857979	285340057	2372089924
URE	3944467758	753598	196852548	21764817	946159107	807786024	746269376	452586263	753598	4270066	192582482	0	18014412	3750405	2538537	94700036	21667759	827252775	3318688	4292505	4907007	193099718	602168106	2796220	3219260	6979305	6085533	432993739	294195319	0	2495687	1436938	4026186	12113293	89788691	342725468	14066033	335318508	39332638	1032379471	1122684814	385725140	505074035	132257925	320613148	1473180	34740824	55615225	20669735	140013146	1013196487	2659048170
IDE	3916831962	1057777	547108526	434523677	292103614	606571886	774332229	435327369	1057777	149966198	397142328	142683480	135926449	155913748	13528729	51251761	60166055	167157069	5244919	10622351	48666154	228047544	313990918	116438294	20668557	165846089	80243738	339160625	51974926	32635922	7431810	45736945	99537876	184521629	23786304	41676883	601317443	644795529	514060004	621642945	1328328934	92016594	68480113	11518951	19217544	126650106	295398199	133079203	532325815	513750460	965791770	1163507839
OVE	3916118810	349293	1038513035	645395421	234318625	331949899	662273221	224874484	349293	723122760	315390275	7288606	292064418	346042397	4012202	79817245	104809876	45679302	59289237	117541027	4797181	104422280	45900174	104172066	344777095	7143490	32859913	170246477	3074180	46051849	105398439	1831726	21694847	39973904	9923719	0	1041642009	1732498448	469622523	218805544	390190994	48585382	9877090	4760501	0	457823691	249205746	473480748	225026293	166321855	1411562711	757706595
CAL	3912525152	11552855	166968650	354369484	439861034	405060831	528445489	670502280	11552855	165080542	1888108	51628218	93379330	209361936	358300264	23385527	31390580	26784663	78525116	6400071	17680601	2159352	300295691	45796200	2426045	29457440	1572188	8937172	440256444	25846698	934818	14416126	1000118	61242576	13146929	553915015	906162494	129529112	322921986	38132705	374458454	501075835	629551977	392163923	231413820	27062382	62644831	98958487	402218561	481789712	324396918	2334207150
BLE	3874673895	939864	191689682	359660167	332324598	539471804	888732419	481472535	939864	8743963	182945719	19867998	630483	339161686	3825161	1608572	68597112	258293753	25244980	0	12143743	283324895	218758186	30455704	0	6603505	187296954	47848976	616527280	10464644	0	1422905	5003942	100993	89699575	374780476	101033603	185309242	438764872	744766993	275475325	707235161	392507630	486258434	248133392	16835488	43588065	36400924	16446922	222320617	522141167	3012023133
OUT	3862229953	1048211344	14193096	1471807663	146775823	751679450	196187857	70805771	1048211344	2189539	12003557	30742488	343735734	1097329441	91720194	31210337	8220655	15624637	224697695	30361248	14141587	4593921	477884999	83808761	86203649	9384481	1745174	11665670	3380122	23442247	43366680	0	1146786	0	2656216	193842	1540556395	565858826	1129289659	23637701	492230420	6036338	4168385	100452229	0	27553587	127388936	311536376	134435504	77839586	380139008	2751977441
STI	3838372232	415488	10858434	446783077	52726484	351503413	630719432	644096258	415488	10500362	358072	444766604	1087378	929095	21713909	430314	29889335	692926	30715701	124074	273829068	44368427	2466143	43563388	34071234	115836532	331113095	106135183	0	23574089	68824529	171581384	122728622	216342228	40936569	108837	628619442	126188239	1000411548	824413471	541527894	305977014	181613949	34549980	47793577	402804928	340773234	353953282	390917611	1591763207	413951165	4970561
TIC	3827724881	1482020	3973690	33392887	197762520	425268960	778558772	772684230	1482020	3535248	438442	1482210	20366125	11544552	10651814	10232705	76281595	100596406	8963582	590379	148682572	139068869	127963558	922670	5008263	57352083	164423438	248686384	302165934	362986	118670	10177018	87029024	447259712	38228980	189507840	27989948	37141828	378479765	989636347	935254920	402278709	415027342	285683938	93755810	185764565	86635531	441526370	211378038	952015453	693822165	1162700295
OUN	3822970506	123823	9985643	1034945486	723661300	874311615	329058768	345286750	123823	0	9985643	4940494	1029779677	225315	5481700	203276423	514618312	284865	0	625140624	70411871	171786456	6972664	0	181567994	17975976	62101846	67144153	268799	0	213710805	9503712	79767735	33963745	8055622	285131	10546017	2461570879	621981583	407719871	222497102	12211204	73736751	12064498	642601	128320180	260604885	274119385	795374714	382256213	1867763463	18146240
ENC	3804294828	250243	1320526	100122389	258590247	362988070	707558921	689441847	250243	1320526	0	376991	99745398	0	3192874	14611046	240523824	262503	8783076	8619241	11057482	334308081	220190	21081660	2425356	47274170	55580604	581197131	0	59229265	2632047	11034633	1824752	76207543	538513607	0	219984954	135995992	313290598	402160778	698586495	669132735	922196048	197715158	176131457	72272663	36913998	24514668	144879273	536286096	2857095712	732936
ORE	3797463503	13678787	1654470342	170712573	828829900	355903994	223011338	361938595	13678787	4657231	1649813111	0	42615328	128097245	11076075	74501444	108891650	634360731	1620134	218841268	7336733	80198305	47907554	444971	113423899	17305624	9659349	55380261	26797234	309455	28591066	10401711	2204961	5465180	14286833	300679389	31786653	2169397610	284437088	789628463	112343177	45793241	313784127	10243742	34612946	32294254	76189284	134080451	255428355	99729916	319231887	2843442081
ANT	3755591976	5004789	285326072	311675256	317015238	411638025	646223870	749326028	5004789	60425336	224900736	4281816	82787362	224606078	10117768	138091815	100691402	68114253	59110393	44653655	87719768	44220602	175933607	53007672	14896866	91786534	82604575	75949360	327978863	34983624	17508287	3517127	81084823	53863084	53905707	504463376	379404315	538622355	580180564	326749825	359239891	514459923	611510305	202761293	223988928	82637848	147794602	131782029	326924230	485277784	591072442	1804529214
ITY	3740314311	1294199	260097212	50627482	93405656	424485739	878208271	732022127	1294199	0	260097212	0	100242	50527240	0	0	127972	93277684	0	658076	0	351177	423476486	0	332282	0	129589	0	877746400	0	245199	0	0	0	0	731776928	1294199	261593039	50655212	93758450	423476486	877746400	731895225	530422818	432003306	160028	363496	332282	658076	129589	723434	3737947406
FRO	3734044758	3668857	3477958918	134569712	23123751	15846185	31016145	16667512	3668857	3474888150	3070768	134412538	157174	0	23008101	0	115650	0	13058058	0	1657784	1130343	0	23620994	0	392722	6299809	702620	0	9035684	0	401993	1813845	2579311	2836679	0	3684896773	3520151	3034111	32973331	3388007	6015816	216569	0	0	9035684	27953675	24670012	25480117	148076809	3479830616	6739625
ART	3726591176	165726241	585752552	810586391	320391499	521376155	290517357	233759566	165726241	46139132	539613420	2338963	482489883	325757545	78879063	138424517	74016023	29071896	117418620	219230818	156644124	9233986	18848607	98196709	73898793	83531851	20432420	7227050	7230534	33672729	87820565	57422472	37096034	7400597	4511284	5835885	598644596	2047218617	713526134	251985123	45642896	18079185	28664750	9840813	12989062	257340996	224067605	381532878	441061755	333335746	633348832	1100520454
TUR	3716216523	619438	142285400	45261668	748873993	887246454	535093443	468700191	619438	142285400	0	43274079	949919	1037670	167570390	4066284	575866373	1370946	70339081	768795	216277322	598187524	1673732	13967904	1449218	116308168	333401325	69079947	886881	11209299	0	79321812	73956537	37895682	265319999	996862	456163716	7632685	1019391706	1060235337	117281687	434569217	117693532	419144810	62201437	31554637	64156993	176779186	434034105	951498145	2036100092	7366339
PAR	3691428919	24935869	585810363	516470828	199163245	378593476	464238973	336770817	24935869	584634996	1175367	448323533	68024865	122430	170385782	16545129	10331222	1901112	296382005	8962988	7903159	64969034	376290	159908140	6618150	138390490	156039418	1857009	1425766	170007763	26248777	93492149	42128289	4317938	411579	164322	2492576788	133720408	532056518	473565677	16788542	29454967	284199	12857454	0	228722242	519001471	490709998	372212731	643993879	736200911	30101156
RED	3671917165	122998966	22183993	99150488	344795533	843554289	1222760892	363935828	122998966	3380635	18803358	3135375	2215100	93800013	51123334	65000223	1547531	227124445	99198501	22776331	3398405	1326279	716854773	36366349	27719609	7986818	589416	24798286	1125300414	58170737	57886938	1229168	0	7192071	277978	239178936	411159370	303451577	119704507	267139971	752725257	1127644046	239280183	318409792	92733530	92324282	115224342	150804021	82572680	79443941	33805501	2994371499
OTH	3662729446	542425	560445621	1440990160	518867530	834087404	83171106	93941701	542425	806254	559639367	1383301003	5353365	52335792	280413604	204422464	7512057	26519405	2008462	252068557	564018113	13905495	2086777	0	7345593	62928659	10419547	523366	1953941	74479908	3112423	7717991	3508126	3402077	434681	1286495	1742129533	1042090895	710225645	118113079	15345090	17624453	13815917	2571311	259321	103205097	33443157	61194309	600724432	2179511840	29247894	645580555
ERI	3634984261	228267	19219232	32765340	429758768	415483475	969089597	571252953	228267	16272825	2946407	4379190	26713530	1672620	0	424159956	4597129	1001683	2832485	183658594	176122670	52236834	632892	2664223	55501438	348605929	497446984	64294255	576768	0	48062463	63283199	152395711	301581089	5503443	427048	26570597	831249358	603957325	1253601241	413547805	139424888	138717994	211839472	9760152	136284414	316480083	427249319	768361006	1681725705	191658575	7708850
HIC	3617867236	468273	1810131	3188169864	36996472	147150134	37167061	42465577	468273	911008	899123	2503904	3181651787	4014173	1128007	2616987	21909654	11341824	2312771	80330453	44611290	105419	19790201	111008	8086375	14946673	3452217	7790223	2780565	0	29325341	2097863	0	7270864	518316	3253193	7434971	3310550509	87579653	15076883	41865161	3518598	5278116	48630175	53785258	5362932	30016003	21446419	100867577	126184541	3214924131	116788122
IES	3606387088	897266	81180651	47136954	491720275	620299330	491739259	619961873	897266	0	81180651	0	2492745	44644209	0	9405707	28614251	453700317	0	1809912	21917537	6613332	589958549	0	212919	3224622	1111644	30761374	456428700	0	866244	3981323	0	1518311	4663222	608932773	897266	96085211	107950227	461425293	626213532	461461760	610609592	575904584	274019374	1083873	7987417	4622174	6797327	34360336	75014809	3476521152
STE	3592565889	1595528	116546149	306572269	883224185	769221264	442300551	507590920	1595528	114167787	2378362	202741860	5219801	98610608	56834553	17008992	806538411	2842229	106094608	2355828	521375013	134703101	4692714	64869390	7125766	69266736	43944269	253893855	3200535	22155468	2694621	107188275	99804262	78583008	196554388	610898	604164406	51866465	1688113994	314211007	389139240	331288888	141213110	58629611	6399084	45622945	137643080	283396503	319417347	972842648	1644235707	115399356
GHT	3589011577	147981	213014	1476841178	697317832	654974745	399343936	164951465	147981	0	213014	0	0	1476841178	0	0	228328883	468988949	0	0	62658460	45018524	547297761	0	0	79527602	159193803	69515231	91107300	0	0	37314297	38191027	23719524	439970	65286647	147981	213014	1933936926	743009081	689565586	109231094	83838073	17596299	9604952	15956491	44823784	79789277	140562344	259958315	354496446	2671822447
ICH	3577428959	4390046	75752416	3161329690	49137303	123716479	83947569	29639432	4390046	222239	75530177	0	13065369	3148264321	187290	30148588	2519508	16281917	237956	109198784	2073911	2174724	10031104	171772	59253917	1501150	7395269	1311783	14313678	108851	10074371	5948428	2452598	553457	116854	10384873	5468952	312119839	3164705590	36963675	14681933	22744802	14377685	4345297	249727	11314727	13496527	72393739	116220174	49595580	22365723	3283646698
IGH	3553478573	118610	394196919	1435795375	750425322	258422019	300241976	168215348	118610	213014	393983905	0	1420598815	15196560	0	464560821	284319084	1545417	0	136510582	50682810	67508760	3719867	0	94501175	92958378	19025334	89866199	3890890	0	48130380	40227398	16153143	715579	62576327	412521	331624	2622009919	572833584	137511677	111850129	85925873	15969477	6258639	0	55745382	95164383	151131361	257140667	546902812	1943702717	418867770
UND	3541129200	50769352	45959153	1369687572	534956934	334662857	187186876	145212189	50769352	4129052	41830101	591032919	52499300	726155353	6062633	55081113	96372616	377440572	13190773	142082672	129981330	40187090	9220992	8805957	26211218	84717367	11602660	4106084	51743590	62474578	3749158	28132913	10597533	9971348	26807488	3479171	1229950815	389771971	1175159652	464120047	29813727	163884142	5029864	70691883	12064498	84801073	104804267	89629352	280487104	840003137	231766449	1335386128
YOU	3526888940	2337737641	750983523	305734094	18337541	35485274	66394052	2095024	2337737641	750983523	0	304743170	0	990924	5696389	0	12641152	0	34019500	0	1465774	0	0	65679329	0	614307	0	0	100416	2095024	0	0	0	0	0	0	3510910163	0	15878361	0	0	100416	0	0	0	2095024	65845533	34019500	6310696	306208944	763624675	2338828981
ORT	3525114055	550613	161200762	594638497	428466420	582582785	413360255	623872519	550613	544368	160656394	2325056	398894072	193419369	2288774	103164548	24231687	298781411	0	121513955	45026766	182513801	233528263	13223241	182851657	31728750	147546966	27934778	10074863	4328565	118224751	17799435	360788870	64949010	10655429	47126459	32769330	1177198802	325373934	1294441678	512927663	34191078	123628116	19700380	2238547	55024183	296219623	376144730	638575472	386903077	670044341	952426980
ERA	3467154217	31880608	12071591	24132424	58215390	1189712924	289888610	544216105	31880608	2847665	9223926	2471092	2966975	18694357	2716898	21774819	3236359	30487314	5162739	9854991	230611052	931956196	12127946	303136	15732750	64594818	197753918	9437365	2066623	1680486	3776522	206122393	281621336	35674546	14225715	1115107	50416014	67764022	643338020	1858227185	308284569	190485429	296508658	22172856	22431000	71482199	248615099	826563537	592391126	572942564	1002317406	108892844
WER	3454801393	854327	2272896270	578326573	264482408	109722830	138705215	51967465	854327	2272326969	569301	1738438	454570	576133565	7105226	473570	93758889	163144723	538966	560012	16432186	89010061	3181605	930458	215327	70725704	46431611	1207323	19194792	0	0	5042749	15906382	4726525	21230005	5061804	2283987356	2272780	768465665	316535722	13660514	43138310	8388895	12021888	6330263	115529	6123682	11639607	97436732	73039250	2481436229	783338044
NTI	3452787542	105195	51119714	270334880	111598454	126138736	662589612	869396892	105195	285679	50834035	0	268412019	1922861	0	107230599	3645928	721927	0	22679367	96467733	5816231	1175405	0	177002323	98111433	320406855	66013980	1055021	0	28534719	290571088	79827042	460063606	10044621	355816	390874	768845251	705102438	582216300	762444190	284430326	141001359	176781114	20398458	149976322	222924630	709526439	403852013	1401075420	359862785	56494958
